Naziv knjige,Autor,Predložio,Korice,Epizoda,Prevod
Steve Jobs,Walter Isaacson,Saša Cvetojević,11084145.jpg,https://www.youtube.com/watch?v=dxrSvDmlUD0,Yes
Up the organization,Robert Townsend,Uros Mikic,download_(6).jpg,https://www.youtube.com/watch?v=nxCH1WDxQT0,No
The Culture Code,"Daniel Coyle ",Uros Mikic,https://cdn2.penguin.com.au/covers/original/9781847941275.jpg,https://www.youtube.com/watch?v=nxCH1WDxQT0,No
Red Roulette,Desmond Shum,Vladimir Djukanovic,download_(7).jpg,https://www.youtube.com/watch?v=Glrq25xgeR8,No
Accounting,Michael Jones,Nemanja Antic,download_(8).jpg,https://www.youtube.com/watch?v=FkusBW6JMOI&t=8024s,No
Intelligent Investor,Benjamin Graham,Nemanja Antic,download_(9).jpg,https://www.youtube.com/watch?v=FkusBW6JMOI&t=8024s,No
Digitalni Pre Marketing,Dragan Varagic,Nemanja Antic,download_(10).jpg,https://www.youtube.com/watch?v=FkusBW6JMOI&t=8024s,No
The Everything Store,Brad Stone,Nemanja Antic,download_(12).jpg,https://www.youtube.com/watch?v=FkusBW6JMOI&t=8024s,No
Delivering Happiness,Tony Hsieh,Nemanja Antic,download_(13).jpg,https://www.youtube.com/watch?v=FkusBW6JMOI&t=8024s,No
Zdravo Drustvo,Erich Fromm,Dragana Djermanovic,download_(14).jpg,https://www.youtube.com/watch?v=lS7wDrgInLE&t=4874s,No
The power of regret,Daniel Pink,Dragana Djermanovic,download_(15).jpg,https://www.youtube.com/watch?v=lS7wDrgInLE&t=4874s,No
Umetnost pobede,Phil Knight,Saša Popović,umetnost_pobede-fil_najt_v.jpg,https://www.youtube.com/watch?v=yP5d2QQvdj8&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=8,No
Great by choice,Jimm Collins,Saša Popović,mini_magick20190519-19516-6hvki.png,https://www.youtube.com/watch?v=yP5d2QQvdj8&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=8,No
Scaling up,Verne Harnish,Saša Popović,51qRClWEaL._AC_SY780_.jpg,https://www.youtube.com/watch?v=yP5d2QQvdj8&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=8,No
Najbogatiji čovek Vavilona,Dzordz Klejson,Saša Popović,38224583._SY475_.jpg,https://www.youtube.com/watch?v=yP5d2QQvdj8&list=PLWauu1241JV2DiShK7MYxLYvGM0GZrmTD&index=8,No
